\2025-01-28 10:18:38,833 __main__ INFO Loading UtacGame...
2025-01-28 10:18:38,833 __main__ INFO Loading UtacNNet...
2025-01-28 10:18:39,709 tacult.base.nn_wrapper INFO Network _UtacNNet initialized on device cpu
2025-01-28 10:18:39,709 __main__ INFO Loading checkpoint "./temp/run3/best.pt"...
2025-01-28 10:18:39,845 tacult.pit INFO Starting round 1/1000
2025-01-28 10:18:39,846 tacult.pit INFO Playing match: NNMCTS_sims2 vs NNMCTS_sims128
2025-01-28 10:21:34,176 tacult.pit INFO 
Statistics After Match: NNMCTS_sims2 vs NNMCTS_sims128
2025-01-28 10:21:34,176 tacult.pit INFO ----------------------------------------------------------------------------------------------------
2025-01-28 10:21:34,176 tacult.pit INFO Agent                          Rating     Games    Wins   Losses Draws  Win Rate Loss Rate Draw Rate
2025-01-28 10:21:34,177 tacult.pit INFO ----------------------------------------------------------------------------------------------------
2025-01-28 10:21:34,177 tacult.pit INFO NNMCTS_sims128                    1856.4       8     7      0      1    87.5%     0.0%    12.5%
2025-01-28 10:21:34,177 tacult.pit INFO NNMCTS_sims4                      1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:21:34,177 tacult.pit INFO NNMCTS_sims8                      1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:21:34,177 tacult.pit INFO NNMCTS_sims16                     1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:21:34,177 tacult.pit INFO NNMCTS_sims32                     1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:21:34,177 tacult.pit INFO NNMCTS_sims64                     1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:21:34,178 tacult.pit INFO NNMCTS_sims256                    1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:21:34,178 tacult.pit INFO NNMCTS_sims512                    1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:21:34,178 tacult.pit INFO Random                            1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:21:34,178 tacult.pit INFO RawMCTS_sims64_rollouts8          1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:21:34,178 tacult.pit INFO RawMCTS_sims256_rollouts8         1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:21:34,178 tacult.pit INFO NNMCTS_sims2                      1143.6       8     0      7      1     0.0%    87.5%    12.5%
2025-01-28 10:21:34,178 tacult.pit INFO ----------------------------------------------------------------------------------------------------

2025-01-28 10:21:34,178 tacult.pit INFO Playing match: NNMCTS_sims256 vs RawMCTS_sims256_rollouts8
2025-01-28 10:28:01,717 tacult.pit INFO 
Statistics After Match: NNMCTS_sims256 vs RawMCTS_sims256_rollouts8
2025-01-28 10:28:01,717 tacult.pit INFO ----------------------------------------------------------------------------------------------------
2025-01-28 10:28:01,718 tacult.pit INFO Agent                          Rating     Games    Wins   Losses Draws  Win Rate Loss Rate Draw Rate
2025-01-28 10:28:01,718 tacult.pit INFO ----------------------------------------------------------------------------------------------------
2025-01-28 10:28:01,718 tacult.pit INFO NNMCTS_sims128                    1856.4       8     7      0      1    87.5%     0.0%    12.5%
2025-01-28 10:28:01,718 tacult.pit INFO NNMCTS_sims256                    1805.5       8     7      1      0    87.5%    12.5%     0.0%
2025-01-28 10:28:01,718 tacult.pit INFO NNMCTS_sims4                      1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:28:01,719 tacult.pit INFO NNMCTS_sims8                      1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:28:01,719 tacult.pit INFO NNMCTS_sims16                     1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:28:01,719 tacult.pit INFO NNMCTS_sims32                     1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:28:01,719 tacult.pit INFO NNMCTS_sims64                     1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:28:01,719 tacult.pit INFO NNMCTS_sims512                    1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:28:01,719 tacult.pit INFO Random                            1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:28:01,719 tacult.pit INFO RawMCTS_sims64_rollouts8          1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:28:01,719 tacult.pit INFO RawMCTS_sims256_rollouts8         1194.5       8     1      7      0    12.5%    87.5%     0.0%
2025-01-28 10:28:01,719 tacult.pit INFO NNMCTS_sims2                      1143.6       8     0      7      1     0.0%    87.5%    12.5%
2025-01-28 10:28:01,719 tacult.pit INFO ----------------------------------------------------------------------------------------------------

2025-01-28 10:28:01,719 tacult.pit INFO Playing match: NNMCTS_sims64 vs NNMCTS_sims128
2025-01-28 10:32:34,941 tacult.pit INFO 
Statistics After Match: NNMCTS_sims64 vs NNMCTS_sims128
2025-01-28 10:32:34,942 tacult.pit INFO ----------------------------------------------------------------------------------------------------
2025-01-28 10:32:34,942 tacult.pit INFO Agent                          Rating     Games    Wins   Losses Draws  Win Rate Loss Rate Draw Rate
2025-01-28 10:32:34,942 tacult.pit INFO ----------------------------------------------------------------------------------------------------
2025-01-28 10:32:34,942 tacult.pit INFO NNMCTS_sims256                    1805.5       8     7      1      0    87.5%    12.5%     0.0%
2025-01-28 10:32:34,942 tacult.pit INFO NNMCTS_sims128                    1796.6      16    11      1      4    68.8%     6.2%    25.0%
2025-01-28 10:32:34,942 tacult.pit INFO NNMCTS_sims64                     1713.7       8     1      4      3    12.5%    50.0%    37.5%
2025-01-28 10:32:34,942 tacult.pit INFO NNMCTS_sims4                      1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:32:34,942 tacult.pit INFO NNMCTS_sims8                      1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:32:34,942 tacult.pit INFO NNMCTS_sims16                     1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:32:34,947 tacult.pit INFO NNMCTS_sims32                     1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:32:34,947 tacult.pit INFO NNMCTS_sims512                    1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:32:34,947 tacult.pit INFO Random                            1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:32:34,947 tacult.pit INFO RawMCTS_sims64_rollouts8          1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:32:34,947 tacult.pit INFO RawMCTS_sims256_rollouts8         1194.5       8     1      7      0    12.5%    87.5%     0.0%
2025-01-28 10:32:34,948 tacult.pit INFO NNMCTS_sims2                      1143.6       8     0      7      1     0.0%    87.5%    12.5%
2025-01-28 10:32:34,948 tacult.pit INFO ----------------------------------------------------------------------------------------------------

2025-01-28 10:32:34,948 tacult.pit INFO Playing match: Random vs RawMCTS_sims64_rollouts8
2025-01-28 10:33:04,767 tacult.pit INFO 
Statistics After Match: Random vs RawMCTS_sims64_rollouts8
2025-01-28 10:33:04,767 tacult.pit INFO ----------------------------------------------------------------------------------------------------
2025-01-28 10:33:04,767 tacult.pit INFO Agent                          Rating     Games    Wins   Losses Draws  Win Rate Loss Rate Draw Rate
2025-01-28 10:33:04,767 tacult.pit INFO ----------------------------------------------------------------------------------------------------
2025-01-28 10:33:04,767 tacult.pit INFO NNMCTS_sims256                    1805.5       8     7      1      0    87.5%    12.5%     0.0%
2025-01-28 10:33:04,767 tacult.pit INFO RawMCTS_sims64_rollouts8          1805.5       8     7      1      0    87.5%    12.5%     0.0%
2025-01-28 10:33:04,768 tacult.pit INFO NNMCTS_sims128                    1796.6      16    11      1      4    68.8%     6.2%    25.0%
2025-01-28 10:33:04,768 tacult.pit INFO NNMCTS_sims64                     1713.7       8     1      4      3    12.5%    50.0%    37.5%
2025-01-28 10:33:04,768 tacult.pit INFO NNMCTS_sims4                      1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:33:04,768 tacult.pit INFO NNMCTS_sims8                      1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:33:04,768 tacult.pit INFO NNMCTS_sims16                     1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:33:04,768 tacult.pit INFO NNMCTS_sims32                     1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:33:04,768 tacult.pit INFO NNMCTS_sims512                    1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:33:04,768 tacult.pit INFO Random                            1194.5       8     1      7      0    12.5%    87.5%     0.0%
2025-01-28 10:33:04,768 tacult.pit INFO RawMCTS_sims256_rollouts8         1194.5       8     1      7      0    12.5%    87.5%     0.0%
2025-01-28 10:33:04,768 tacult.pit INFO NNMCTS_sims2                      1143.6       8     0      7      1     0.0%    87.5%    12.5%
2025-01-28 10:33:04,768 tacult.pit INFO ----------------------------------------------------------------------------------------------------

2025-01-28 10:33:04,768 tacult.pit INFO Playing match: NNMCTS_sims64 vs RawMCTS_sims256_rollouts8
2025-01-28 10:36:08,252 tacult.pit INFO 
Statistics After Match: NNMCTS_sims64 vs RawMCTS_sims256_rollouts8
2025-01-28 10:36:08,252 tacult.pit INFO ----------------------------------------------------------------------------------------------------
2025-01-28 10:36:08,252 tacult.pit INFO Agent                          Rating     Games    Wins   Losses Draws  Win Rate Loss Rate Draw Rate
2025-01-28 10:36:08,252 tacult.pit INFO ----------------------------------------------------------------------------------------------------
2025-01-28 10:36:08,253 tacult.pit INFO NNMCTS_sims256                    1805.5       8     7      1      0    87.5%    12.5%     0.0%
2025-01-28 10:36:08,253 tacult.pit INFO RawMCTS_sims64_rollouts8          1805.5       8     7      1      0    87.5%    12.5%     0.0%
2025-01-28 10:36:08,253 tacult.pit INFO NNMCTS_sims128                    1796.6      16    11      1      4    68.8%     6.2%    25.0%
2025-01-28 10:36:08,253 tacult.pit INFO NNMCTS_sims64                     1716.5      16     8      4      4    50.0%    25.0%    25.0%
2025-01-28 10:36:08,253 tacult.pit INFO NNMCTS_sims4                      1500.0       0     0      0      0     0.0%     0.0%     0.0%
2025-01-28 10:36:08,253 tacult.pit INFO NNMCTS_sims8                      1500.0       0     0      0      0     0.0%     0.0%     0.0%
